Script,Code,Interval,LOTSIZ,CHG_IN_OI,CONTRACTS
AARTIIND,7,5,850,8072.24,711.33
ABB,13,50,250,2740.06,737.91
ABBOTINDIA,17903,250,40,92.07,257.95
ABCAPITAL,21614,2.5,5400,43948.79,725.83
ABFRL,30108,2.5,2600,32609.2,902.94
ACC,22,20,250,5283.2,1446.08
ADANIENT,25,50,250,34326.92,2928.04
ADANIPORTS,15083,10,625,42105.41,3056.75
ALKEM,11703,20,200,1078.09,381.94
AMBUJACEM,1270,10,1800,50164.2,1550.24
APOLLOHOSP,157,50,125,3389.8,1185.41
APOLLOTYRE,163,5,3500,24087.39,1143
ASHOKLEY,212,1,5000,110131.55,2126.07
ASIANPAINT,236,20,200,11168.85,2294.28
ASTRAL,14418,20,367,2560.21,690.32
ATUL,263,100,75,553.44,317.89
AUBANK,21238,10,1000,13215.97,1430.83
AUROPHARMA,275,5,1000,21247.46,2746.72
AXISBANK,5900,10,1200,90659.65,6498.84
BAJAJ-AUTO,16669,20,250,4580.05,1419.08
BAJAJFINSV,16675,20,500,4532.3,1817.71
BAJFINANCE,317,50,125,8344.03,5088.36
BALKRISIND,335,20,300,2897.51,738.42
BALRAMCHIN,341,5,1600,32083.67,842.62
BANDHANBNK,2263,2.5,1800,48085.89,2710.51
BANKBARODA,4668,2.5,5850,138849.05,3039.53
BATAINDIA,371,10,275,4547.57,916.89
BEL,383,1,5700,64078.73,1129.16
BERGEPAINT,404,5,1100,6554.59,548.05
BHARATFORG,422,10,1000,10598.77,1351.31
BHARTIARTL,10604,10,950,92680.28,4336.97
BHEL,438,1,10500,126796.78,1468.53
BIOCON,11373,2.5,2300,22480.39,1422.5
BOSCHLTD,2181,250,50,243.15,486.42
BPCL,526,2.5,1800,45609.08,2065.38
BRITANNIA,547,50,200,3130.02,1000.73
BSOFT,6994,5,2000,9142.59,742.3
CANBK,10794,5,2700,44406.76,2378.97
CANFINHOME,583,10,975,7145.12,726.13
CHAMBLFERT,637,5,1500,14344.44,769.19
CHOLAFIN,685,10,1250,9248.96,872.61
CIPLA,694,10,650,20741.17,1870.23
COALINDIA,20374,2.5,4200,103251.77,1785.31
COFORGE,11543,50,150,1713.26,1149.65
COLPAL,15141,10,350,4078.89,593.91
CONCOR,4749,10,1000,8880.69,624.31
COROMANDEL,739,10,700,3683.03,465.1
CROMPTON,17094,5,1500,16639.49,615.12
CUB,5701,2.5,5000,34817.36,493.74
CUMMINSIND,1901,20,600,3470.64,542.66
DABUR,772,5,1250,17267.56,1008.38
DALBHARAT,8075,20,500,2733.83,546.01
DEEPAKNTR,19943,20,250,3621.97,1346.1
DELTACORP,15044,2.5,2800,32192.07,955.51
DIVISLAB,10940,20,150,6491.5,1718.78
DIXON,21690,50,125,1710.12,1300.09
DLF,14732,5,1650,65356.43,2856.07
DRREDDY,881,50,125,5484.17,2589.8
EICHERMOT,910,50,175,2102.69,1629.37
ESCORTS,958,20,275,7455.28,1535.72
EXIDEIND,676,2.5,3600,22637.94,715.34
FEDERALBNK,1023,1,5000,134470.29,1567.17
GAIL,4717,1,9150,82656.1,1116.92
